subject,task,avr,top_two
12,4,1.66666666666667,0
12,4,1,0
12,4,1.33333333333333,0
12,4,1.66666666666667,0
12,4,1.66666666666667,0
12,4,1.66666666666667,0
12,4,1,1
12,4,2,0
12,4,1,0
12,4,1.33333333333333,1
12,4,2,0
12,4,2.33333333333333,0
12,4,1.33333333333333,0
12,4,1.33333333333333,0
12,4,1,0
12,4,1,0
12,4,1.66666666666667,0
12,4,2.33333333333333,0
13,1,2,1
13,1,1.66666666666667,1
13,1,1.66666666666667,0
13,1,1.66666666666667,0
13,1,1.33333333333333,0
13,1,1.33333333333333,0
13,1,2,0
13,1,1.66666666666667,0
13,4,1.66666666666667,0
13,4,2,0
13,4,1.66666666666667,1
13,4,1.66666666666667,0
13,4,2,1
14,1,1.33333333333333,1
14,1,1,0
14,1,1.33333333333333,0
14,1,1,1
14,4,1.66666666666667,1
14,4,1.33333333333333,0
14,4,1.66666666666667,0
14,4,1.33333333333333,1
14,4,1,0
14,4,1.66666666666667,0
14,4,1.33333333333333,0
15,1,1.33333333333333,0
15,1,2.33333333333333,1
15,1,1.66666666666667,1
15,1,2.66666666666667,0
15,4,1.66666666666667,1
15,4,2,0
15,4,1.66666666666667,1
16,1,1,0
16,1,1.33333333333333,0
16,1,1.33333333333333,0
16,1,1.66666666666667,0
16,1,1,1
16,1,1.66666666666667,1
16,1,1,0
16,1,1.66666666666667,0
16,4,1.33333333333333,0
16,4,2,1
16,4,1.33333333333333,0
16,4,2.33333333333333,1
17,1,1.66666666666667,0
17,1,1.66666666666667,0
17,1,1.66666666666667,0
17,1,2,1
17,1,1.33333333333333,0
17,1,2.66666666666667,1
17,4,2,0
17,4,2.66666666666667,1
17,4,2,1
17,4,2,0
18,1,1.33333333333333,0
18,1,1,0
18,1,1,0
18,1,1.33333333333333,0
18,1,1,0
18,1,1,0
18,1,1,0
18,1,1,0
18,1,1,0
18,1,1,0
18,1,1.66666666666667,0
18,1,1.66666666666667,1
18,1,2,1
18,4,1,0
18,4,1.66666666666667,1
18,4,2,0
18,4,1,0
18,4,1,0
18,4,1.33333333333333,1
18,4,1.33333333333333,0
18,4,1,0
19,1,2,0
19,1,2,0
19,1,2,1
19,1,1.66666666666667,1
19,1,1.66666666666667,0
19,4,1.66666666666667,0
19,4,2,0
19,4,2,0
19,4,2,0
19,4,1.33333333333333,0
19,4,2,0
19,4,2.33333333333333,1
19,4,1.33333333333333,0
19,4,1.66666666666667,0
19,4,1.66666666666667,0
19,4,2,0
19,4,2,1
20,1,1.66666666666667,1
20,1,1,0
20,1,1.33333333333333,0
20,1,2,0
20,1,2,0
20,1,1.66666666666667,0
20,1,2,1
20,1,2,0
20,1,1,0
20,4,2.33333333333333,0
20,4,2.33333333333333,1
20,4,1.66666666666667,0
20,4,1.66666666666667,0
20,4,2,1
20,4,1.66666666666667,0
21,1,3,1
21,1,2,0
21,1,1.66666666666667,0
21,1,2.33333333333333,1
21,1,2.33333333333333,0
21,4,1.66666666666667,0
21,4,1.66666666666667,1
21,4,2.66666666666667,0
21,4,2.33333333333333,1
22,1,1,0
22,1,1,0
22,1,1.33333333333333,1
22,1,1.66666666666667,0
22,1,2,0
22,1,2,0
22,1,1.66666666666667,1
22,1,1.66666666666667,0
22,1,1.33333333333333,0
22,1,1,0
22,4,2,0
22,4,1.66666666666667,0
22,4,2,1
22,4,1.66666666666667,0
22,4,2,0
22,4,1.66666666666667,0
22,4,2,1
23,1,1.66666666666667,0
23,1,1.66666666666667,1
23,1,1,0
23,1,1,0
23,1,1.66666666666667,1
23,1,1.33333333333333,0
23,4,1.33333333333333,0
